pregunta,respuesta_correcta,opciones/A,opciones/B,opciones/C,opciones/D,tema
¿Cuál es el objeto de las Reales Ordenanzas de las Fuerzas Armadas según el Artículo 1?,B,Establecer el código de disciplina militar exclusivamente.,"Constituir el código de conducta, definir los principios rectores y las normas de comportamiento de acuerdo con la Constitución.",Regular la estructura orgánica de las Fuerzas Armadas.,Determinar los procedimientos de ascenso.,1
"Según el Artículo 1, ¿qué buscan fomentar las Reales Ordenanzas, además de definir el código de conducta?",C,La eficiencia y la profesionalidad en el combate.,El espíritu de equipo y la camaradería exclusivamente.,"El amor a España, en el honor, disciplina y valor.",La colaboración con ejércitos extranjeros.,1
¿A quiénes se aplican las Reales Ordenanzas según el Artículo 2?,B,Exclusivamente a los militares profesionales.,A todos los miembros de las Fuerzas Armadas.,Solo a los reservistas y aspirantes.,Únicamente al personal de carrera.,1
¿Cuándo se aplicarán las Reales Ordenanzas a los reservistas y aspirantes según el Artículo 2?,A,Cuando sean incorporados a las Fuerzas Armadas.,En todo momento desde que inician su formación.,Solo durante el tiempo de servicio activo.,"Nunca, ya que tienen su propia normativa.",1
"Según el Artículo 3, ¿cuál es el primer deber del militar?",B,Servir con honor y lealtad a sus superiores.,La disposición permanente para defender a España.,Mantener un alto nivel de competencia profesional.,Cumplir estrictamente las órdenes recibidas.,1
"El deber de defender a España, mencionado en el Artículo 3, ¿exige del militar alguna disposición?",C,Disposición geográfica.,Disposición económica.,Disposición permanente.,Disposición temporal.,1
¿Sobre qué documentos fundamentales se basa el deber del militar de defender a España según el Artículo 3?,B,La Ley de Defensa Nacional y el Código Penal Militar.,"La Constitución y la Ley Orgánica 5/2005, de la Defensa Nacional.",Las Directivas de la Unión Europea y la Ley 39/2007.,Las Reales Ordenanzas y el Reglamento de Disciplina.,1
"¿Qué debe tener el militar en su diaria expresión y en el exacto cumplimiento de los preceptos contenidos en la Constitución, la Ley Orgánica de la Defensa Nacional y esta ley, según el Artículo 3?",D,Gran habilidad y eficiencia.,Gran destreza e ingenio.,Gran mesura y prudencia.,Gran desidia e ineptitud.,1
"Según el Artículo 4, ¿cuál es el deber principal del militar?",B,Proteger a los ciudadanos.,Cumplir las obligaciones derivadas de las misiones.,Mantener la disciplina en todo momento.,Asistir a las autoridades civiles.,1
"Según el Artículo 5, ¿bajo qué principio debe actuar el militar como servidor público?",C,Jerarquía y subordinación.,Eficacia y economía.,"Objetividad, integridad, neutralidad, responsabilidad, imparcialidad, confidencialidad, dedicación al servicio, transparencia, ejemplaridad, austeridad, accesibilidad, eficacia, honradez y promoción del entorno cultural y medioambiental.",Celeridad y contundencia.,1
El Artículo 12 establece el deber del militar de respetar y hacer respetar los derechos fundamentales y libertades públicas. ¿En base a qué documento se reconocen estos derechos y libertades?,C,El Código Penal Militar.,La Ley de Régimen Disciplinario.,La Constitución.,Los Tratados Internacionales.,1
"Según el Artículo 13, ¿qué aspecto específico deben valorar las autoridades competentes en la aplicación de los criterios y normas de comportamiento?",B,La promoción de la excelencia académica.,La igualdad efectiva de mujeres y hombres y la prevención de la violencia de género.,La eficiencia en el uso de recursos.,La obediencia a las órdenes superiores.,1
"¿Qué debe tener el militar, más allá del valor y espíritu de sacrificio, según el Artículo 14?",C,Un alto grado de iniciativa.,Un profundo respeto por la tradición militar.,"Honor y espíritu, siendo su máximo galardón el cumplimiento del deber.",Excelentes habilidades de liderazgo.,1
"Según el Artículo 14, ¿cuál es el máximo galardón para un militar?",C,Las condecoraciones y ascensos.,El reconocimiento de sus superiores.,El cumplimiento del deber.,La satisfacción personal del trabajo bien hecho.,1
¿Qué implica la disponibilidad permanente del militar según el Artículo 20?,B,Estar listo para el combate en cualquier momento.,"Dedicar todo su tiempo al servicio y cumplimiento de sus cometidos, incluso en días festivos.",Participar en misiones internacionales.,Estar a disposición de las autoridades civiles en emergencias.,1
"Según el Artículo 22, ¿qué valor se asocia al prestigio de las Fuerzas Armadas?",C,Su capacidad de disuasión.,La eficacia de sus operaciones.,El que les otorgan sus miembros y el apoyo de la sociedad.,Su historia y tradiciones.,1
El Artículo 22 menciona que el prestigio de las Fuerzas Armadas se asienta en el de sus miembros. ¿Qué deben hacer estos miembros para mantener dicho prestigio?,B,Obedecer sin objeciones.,"Ser orgullosos, mantener los mayores niveles de preparación, eficacia, eficiencia y cohesión.",Destacar en operaciones complejas.,Seguir estrictamente el reglamento.,1
"Según el Artículo 44, ¿qué constituye una parte esencial del orden militar?",B,La jerarquía.,La disciplina.,El valor.,La obediencia.,1
El Artículo 44 define la disciplina como parte esencial del orden militar. ¿Qué exige la disciplina?,C,Subordinación voluntaria y obediencia reflexiva.,El exacto cumplimiento de las leyes y reglamentos.,"La observancia de las leyes y reglamentos, y el exacto acatamiento a las órdenes.",Iniciativa y proactividad.,1
"Según el Artículo 44, la disciplina exige, entre otras cosas, el exacto acatamiento a las órdenes. ¿Quiénes deben cumplir estas órdenes?",C,Solo los subordinados.,Solo los oficiales.,"Todos los militares, cualquiera que sea su empleo.",Únicamente el personal de tropa y marinería.,1
¿Qué implica la obediencia para el militar según el Artículo 45?,B,Acatar las órdenes siempre y cuando sean legales.,"Cumplir las órdenes con prontitud, exactitud y sin objeciones.",Evaluar la conveniencia de las órdenes antes de ejecutarlas.,"Seguir las directrices generales, no necesariamente cada orden específica.",1
"Según el Artículo 45, ¿cuál es el límite de la obediencia?",C,Las órdenes que sean contrarias a la Constitución.,Las órdenes que impliquen un riesgo para la propia vida.,Las órdenes que sean manifiestamente contrarias a las leyes o constituyan delito.,Las órdenes que contradigan las tradiciones militares.,1
El Artículo 45 establece que el militar debe obedecer con prontitud y exactitud. ¿Qué más se exige en la ejecución de las órdenes?,C,Creatividad e innovación.,Iniciativa y proactividad.,"Prontitud, exactitud y sin objeciones.",Flexibilidad y adaptación.,1
"Según el Artículo 47, ¿qué debe hacer el militar al recibir una orden que considere dudosa?",C,Consultar con un compañero.,Ejecutarla sin cuestionar.,Pedir que se le dé por escrito y comunicarlo a un superior inmediato.,Ignorarla si cree que es incorrecta.,1
"Si un militar recibe una orden que, a su entender, es manifiestamente contraria a las leyes o constitutiva de delito, ¿qué debe hacer según el Artículo 47?",B,Obedecerla pero dejar constancia de su objeción.,Abstenerse de obedecerla y comunicarlo a un superior.,Cumplirla y posteriormente presentar una queja.,Discutirla con quien la ha impartido.,1
"Según el Artículo 49, al dar parte de una novedad, ¿qué debe incluir el militar?",C,Solo los hechos principales.,Únicamente las consecuencias de la novedad.,Todos los hechos que conozca con la mayor fidelidad.,Una opinión personal sobre la novedad.,1
El Artículo 49 indica que el militar que dé parte de una novedad debe hacerlo con fidelidad. ¿Qué debe evitar?,B,Omitir detalles relevantes.,Emitir juicios o conclusiones personales.,Comentar la novedad con otros militares.,Presentar el parte por escrito.,1
"Según el Artículo 50, ¿cómo debe ser la actitud del militar hacia el personal a sus órdenes?",B,Exigente y rigurosa.,"Imparcial y objetiva, atendiendo a sus necesidades, preocupaciones e iniciativas.",Cercana pero distante.,Estricta y disciplinada.,1
El Artículo 50 menciona que el militar debe atender las necesidades y preocupaciones del personal a sus órdenes. ¿Qué más debe valorar?,C,Su disciplina y obediencia.,Sus capacidades individuales.,Sus iniciativas.,Su lealtad a los superiores.,1
"Según el Artículo 51, si un militar comete un error, ¿qué debe hacer?",B,Intentar ocultarlo para evitar consecuencias.,Reconocerlo y proponer las soluciones que considere adecuadas.,Esperar a que un superior lo detecte.,Justificar su error.,1
El Artículo 51 establece que el militar debe reconocer sus errores. ¿Qué más implica esta actitud?,A,Aceptar las consecuencias de su error.,Buscar excusas para su error.,Culpar a otros por su error.,Minimizar la importancia de su error.,1
"Según el Artículo 52, ¿qué debe cuidar el militar en su presentación personal y vestimenta?",B,Estar siempre a la moda.,Adecuarse a las circunstancias del servicio.,Proyectar una imagen de fuerza.,Ser discreto en todo momento.,1
"El Artículo 52 se refiere a los signos externos de disciplina, cortesía militar y policía. ¿Qué reflejan estos signos?",C,El nivel de entrenamiento del militar.,El estado de ánimo del militar.,"El esmero en el servicio y el respeto a otras personas, sean militares o civiles.",La preparación para el combate.,1
"¿Qué deben constituir el saludo militar, la cortesía y la disciplina según el Artículo 52?",C,La base de la jerarquía.,Una imagen de profesionalidad.,"Expresión de respeto mutuo, disciplina y unión entre todos los miembros de las Fuerzas Armadas.",Un mero formalismo.,1
"Según el Artículo 62, ¿qué debe tener en cuenta la autoridad al tomar decisiones?",B,Las opiniones de sus subordinados.,La valoración de la información disponible.,Su propia intuición.,Las presiones externas.,1
El Artículo 62 describe el proceso de toma de decisiones por parte de la autoridad. ¿Qué implica este proceso?,B,Ser impulsivo y rápido.,"Ser prudente, valorar la información, dirigir, coordinar, controlar e intervenir.",Ser autoritario y dictatorial.,Delegar la responsabilidad.,1
¿Qué debe fomentar la autoridad según el Artículo 72?,B,La competencia individual.,"El espíritu de equipo, la cohesión de su unidad y la convergencia de esfuerzos.",La rivalidad sana entre miembros.,La independencia de pensamiento.,1
"Según el Artículo 72, ¿cuál es la finalidad de fomentar el espíritu de equipo, la cohesión y la convergencia de esfuerzos?",C,Lograr objetivos personales.,Mejorar el ambiente de trabajo.,Alcanzar el máximo rendimiento individual y de conjunto.,Reducir el estrés.,1
¿Qué fomenta la Convivencia en unidad según el Artículo 73?,C,La competitividad sana.,La jerarquía estricta.,"Sin discriminación alguna por razón de nacimiento, origen racial o étnico, género, sexo, orientación sexual, religión o convicciones, opinión o cualquier otra condición o circunstancia personal o social.",La obediencia ciega.,1
El Artículo 73 se refiere a la convivencia en unidad. ¿Qué más fomenta esta convivencia además de la ausencia de discriminación?,A,La camaradería y la integración intercultural.,El aislamiento de opiniones disidentes.,El respeto a la autoridad únicamente.,La uniformidad de pensamiento.,1
¿Cómo deben ejecutar los militares la misión encomendada según el Artículo 101?,B,Con el mínimo esfuerzo necesario.,"Con la máxima eficacia, basada en su competencia profesional.",Delegando responsabilidades en los subordinados.,Siguiendo únicamente las órdenes escritas.,1
"Según el Artículo 101, al ejecutar la misión encomendada con la máxima eficacia, ¿qué deben proteger los militares?",B,Los recursos materiales.,La vida e integridad de todos los afectados y evitar riesgos innecesarios.,Su propia reputación.,Los intereses nacionales exclusivamente.,1
¿Qué deben hacer las Fuerzas Armadas y los Cuerpos de Seguridad al apoyar a los ciudadanos según el Artículo 103?,C,Actuar solo bajo órdenes directas de las autoridades civiles.,Limitar su actuación a las emergencias.,Poner el máximo empeño en el cumplimiento de las tareas asignadas para garantizar su seguridad ciudadana.,Evitar el contacto directo con la población.,1
El Artículo 103 se refiere al apoyo a Fuerzas y Cuerpos de Seguridad. ¿Con qué fin se presta este apoyo?,B,Para aumentar la visibilidad de las Fuerzas Armadas.,Para garantizar la seguridad ciudadana.,Para adquirir experiencia en operaciones conjuntas.,Para suplir la falta de efectivos policiales.,1
"Según el Artículo 44, ¿qué implica la disciplina militar?",B,Cumplir órdenes cuando se está de servicio.,Un principio que rige la vida militar en todo momento.,Seguir la cadena de mando.,Mantener el respeto a los superiores.,1
El Artículo 45 describe la obediencia. ¿Qué virtudes se asocian a ella?,B,Valentía y determinación.,Prontitud y exactitud.,Discreción y silencio.,Iniciativa y flexibilidad.,1
"Según el Artículo 14, ¿qué significa la 'Disponibilidad' para un militar?",C,Estar localizable en todo momento.,Estar dispuesto a asumir nuevas responsabilidades.,Estar permanentemente preparado para el servicio y el cumplimiento de sus cometidos.,Tener tiempo libre para la formación continua.,1
El Artículo 17 menciona las virtudes y aptitudes del militar. ¿Cuáles son algunas de estas virtudes?,B,Paciencia y humildad.,"Disciplina, prontitud y obediencia.",Creatividad y originalidad.,Negociación y diplomacia.,1
"¿Qué se entiende por 'Honor' en el contexto militar según las Reales Ordenanzas (mencionado en varios artículos, como el 1 y 14)?",B,Recibir condecoraciones.,Un valor fundamental que guía la conducta del militar.,Ascender de rango rápidamente.,Ser reconocido por la sociedad.,1
El Artículo 1 describe el objeto de las Reales Ordenanzas. ¿Qué más definen aparte del código de conducta?,B,Los procedimientos operativos.,Los principios rectores y las normas de comportamiento.,La logística y el abastecimiento.,Las relaciones con ejércitos extranjeros.,1
"Según el Artículo 13, ¿qué tipo de igualdad deben valorar las autoridades competentes?",B,Igualdad salarial.,Igualdad de género.,Igualdad de oportunidades en el ascenso.,Igualdad ante la ley.,1
El Artículo 5 describe la actuación del militar como servidor público. ¿Qué principio se destaca en relación con la responsabilidad?,C,Responsabilidad limitada.,Responsabilidad compartida.,Responsabilidad individual.,Responsabilidad colectiva.,1
¿Qué deben evitar los militares en su conducta según el Artículo 52?,B,Hablar en público.,Proyectar una imagen inadecuada o descuidada.,Utilizar uniformes.,Relacionarse con civiles.,1
"Según el Artículo 72, ¿qué se logra fomentando el espíritu de equipo y la cohesión?",C,Aumentar la moral.,Mejorar la comunicación.,Alcanzar el máximo rendimiento.,Reducir los conflictos.,1
El Artículo 73 aborda la convivencia en unidad. ¿Qué aspecto de la diversidad se menciona específicamente?,B,Diversidad de opiniones políticas.,Diversidad de orígenes y creencias.,Diversidad de habilidades.,Diversidad geográfica.,1
"Según el Artículo 101, ¿cómo deben ejecutar la misión encomendada en relación con la competencia profesional?",B,Basándose en la experiencia.,Utilizando su competencia profesional para lograr la máxima eficacia.,Siguiendo las instrucciones al pie de la letra.,Adaptando la misión a sus capacidades.,1
El Artículo 103 trata sobre el apoyo a las Fuerzas y Cuerpos de Seguridad. ¿Quiénes prestan este apoyo?,B,El Ejército de Tierra exclusivamente.,Todos los miembros de las Fuerzas Armadas.,Unidades especializadas de las Fuerzas Armadas.,El personal en situación de reserva.,1
¿Qué principio rector guía la actuación de los miembros de las Fuerzas Armadas según el Artículo 1?,C,El principio de eficiencia.,El principio de jerarquía.,Los principios rectores definidos en las Reales Ordenanzas.,El principio de adaptabilidad.,1
"Según el Artículo 3, la disposición permanente para defender a España incluye la entrega de la vida. ¿Dónde se establece esta obligación?",C,En el Código Penal Militar.,En la Ley 39/2007.,En las Reales Ordenanzas.,En la Constitución.,1
El Artículo 4 menciona los deberes de carácter general. ¿Qué deberá guardar y hará guardar el militar?,B,El secreto profesional.,La Constitución y la ley como norma fundamental del Estado.,Las tradiciones militares.,El honor de la profesión.,1
"Según el Artículo 5, ¿qué debe garantizar el militar en su actuación como servidor público en relación con la imparcialidad?",B,"Tratar a todos por igual, independientemente de su rango.",Actuar sin favoritismos ni discriminaciones.,Priorizar los intereses de la institución.,Tomar decisiones basadas en datos objetivos.,1
El Artículo 12 se refiere a los derechos fundamentales y libertades públicas. ¿Qué debe hacer el militar en su actuación?,B,Limitar el ejercicio de estos derechos en el servicio.,Respetar y hará respetar estos derechos y libertades.,Priorizar el cumplimiento del deber sobre los derechos individuales.,Denunciar cualquier violación de estos derechos.,1
"Según el Artículo 13, ¿qué deben valorar las autoridades competentes para que la igualdad efectiva de mujeres y hombres sea real?",B,Las políticas de personal.,La aplicación de los criterios y normas de comportamiento.,La formación en igualdad de género.,Los resultados de las misiones.,1
El Artículo 14 destaca la dedicación a la profesión militar. ¿Qué debe sentir el militar al servir a España?,B,Orgullo y ambición.,Honor y la íntima satisfacción del deber cumplido.,Competitividad y superación.,Compromiso y sacrificio.,1
"Según el Artículo 20, la disponibilidad permanente implica estar listo para el servicio. ¿Qué más implica?",B,Estar dispuesto a viajar en cualquier momento.,"Cumplir sus cometidos, incluso en días festivos.",Trabajar horas extras sin compensación.,Abandonar su vida personal.,1
